Summary,Issue Type,Description,Epic Name,Epic Link,Labels
MP-25 - RBAC,Story,"*Concepts:* derived permissions with useMemo, guard component, declarative UI gating

h3. Subtasks
* {{constants/roles.ts}} - ROLES, Permission union, ROLE_PERMISSIONS map
* usePermission() returning can / canAny / hasRole, permissions built into a Set inside useMemo
* RoleRoute layout guard -> /403
* {{<Can perm=""..."">}} wrapper component with a fallback prop
* An /admin/ingredients page behind ADMIN

h3. Acceptance criteria
* A USER navigating to /admin/ingredients lands on /403; an ADMIN sees the page
* Delete buttons on recipes you do not own are absent for USER, present for ADMIN
* With the button hidden, curling the DELETE endpoint as that user still returns *403* - client RBAC is UX, the server is the gate. Prove this and note it in the ticket.
* Permission set is not recomputed on every render (log inside the useMemo)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 2 - Auth & RBAC (frontend),frontend auth rbac
MP-30 - Typed API modules,Story,"*Concepts:* feature-first API layer, generics, DTO types

h3. Subtasks
* {{types/api.types.ts}} - ApiResponse<T>, ApiError, Paginated<T>
* features/recipes/api/recipesApi.ts, features/ingredients/..., features/plan/...
* Every method accepts an optional AbortSignal

h3. Acceptance criteria
* Zero {{api.get(...)}} calls inside any component or page file (grep to prove it)
* Every API function has an explicit return type - no inferred any
* Mistyping a response field is a compile error

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 3 - API layer & data-fetching hooks,frontend api-layer typescript
MP-31 - useFetch-style hook with abort,Story,"*Concepts:* useEffect cleanup, AbortController, race conditions

h3. Subtasks
* A hook that takes a fetcher + deps and returns {{{ loading, data, error, refetch }}}
* AbortController created per effect run, aborted in cleanup
* Swallow cancellation errors; surface real ones

h3. Acceptance criteria
* Navigating away mid-request shows a cancelled request in the Network tab and logs no error
* Rapidly changing the dependency 5 times leaves the *last* response rendered - never an out-of-order earlier one (throttle the network and prove it)
* refetch() re-runs without remounting the component

h3. Hints
The stale-response race is the real lesson. Even with abort, reason about what happens if response 3 lands after response 5. An {{ignore}} boolean in the cleanup closure is the belt to abort's braces.

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 3 - API layer & data-fetching hooks,frontend hooks data-fetching
MP-32 - useReducer for fetch state,Story,"*Concepts:* useReducer, discriminated unions, stable dispatch

h3. Subtasks
* Model fetch state as a reducer with FETCH_START / SUCCESS / ERROR
* Type Action as a discriminated union
* Refactor MP-31's hook onto it

h3. Acceptance criteria
* Impossible states are unrepresentable - you cannot have loading: true and error set at once
* dispatch is passed to a child without useCallback and you can explain why that is safe
* Adding a new action without handling it in the switch is a TS error

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 3 - API layer & data-fetching hooks,frontend hooks typescript
MP-33 - Four-state rendering as a shared pattern,Story,"*Concepts:* conditional rendering, component composition, children as a slot

h3. Subtasks
* {{<QueryState loading error empty>}} wrapper, or an equivalent convention you apply consistently
* <PageSkeleton />, <ErrorState onRetry />, <EmptyState /> in components/ui/

h3. Acceptance criteria
* Every data-driven page renders something meaningful in all four states
* The error state has a working Retry that re-issues the request
* Empty != loading - an empty result never shows a skeleton forever

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 3 - API layer & data-fetching hooks,frontend components ux
MP-40 - Recipe list page,Story,"*Concepts:* props, lists & keys, composition

h3. Subtasks
* RecipeCard (presentational, no data fetching) + RecipeList + RecipesPage
* Card shows name, photo or placeholder, calories/protein, ingredient count

h3. Acceptance criteria
* Page is thin - fetch + layout only, zero business logic
* Keys are recipe ids
* RecipeCard receives everything via props and could be rendered from a static array with no changes

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 4 - Recipes,frontend components recipes
MP-41 - Recipe detail page,Story,"*Concepts:* route params, dependent fetching

h3. Subtasks
* /recipes/:id fetching by param; ingredients, macros, prep items, notes
* Handle a 404 id gracefully

h3. Acceptance criteria
* Changing the id in the URL refetches
* A bogus id shows a not-found state, not a crash

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 4 - Recipes,frontend routing recipes
MP-42 - Recipe create/edit form,Story,"*Concepts:* useReducer for a complex form, dynamic field arrays, controlled inputs

This is the biggest React ticket in the project. The form has: name, photo, notes, servings, macros, *a variable-length ingredient list* (ingredient + quantity + unit rows, addable/removable), and *a variable-length prep-item list* (label + lead-time-hours rows).

h3. Subtasks
* Model the whole form in one useReducer - actions like SET_FIELD, ADD_INGREDIENT, UPDATE_INGREDIENT, REMOVE_INGREDIENT, ADD_PREP, ...
* Ingredient rows use an autocomplete against GET /ingredients
* Every dynamic row gets a stable client-generated id as its key (crypto.randomUUID()), *not* the array index
* Client validation before submit; map 422 field errors onto rows
* Reuse the same component for create and edit (/recipes/new and /recipes/:id/edit)

h3. Acceptance criteria
* Add three ingredient rows, fill them, delete the *middle* one - the other two keep their values. (With index keys they will not. Try it wrong first, then fix it - this is the reconciliation lesson.)
* No state mutation anywhere in the reducer - every case returns a new object/array
* Submitting twice fast creates one recipe
* Edit mode pre-populates every field including all dynamic rows
* A server 422 on ingredients[1].quantity highlights that specific row

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 4 - Recipes,frontend forms hooks recipes
MP-43 - Photo upload + accessible fields,Story,"*Concepts:* useRef on a file input, object URLs, useId

h3. Subtasks
* Hidden file input triggered by a styled button via useRef
* Local preview with URL.createObjectURL, revoked on cleanup
* useId to wire every <label htmlFor> to its input

h3. Acceptance criteria
* Preview appears before upload completes
* No object-URL leak (revoke in the effect cleanup)
* Every input is reachable by clicking its label
* Upload failure leaves the form usable

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 4 - Recipes,frontend forms a11y recipes
MP-44 - Delete with confirmation + optimistic-free flow,Story,"h3. Subtasks
* Confirm modal; on success remove from list without a full refetch

h3. Acceptance criteria
* Deleting the last item on a page shows the empty state
* A failed delete restores the row and shows an error

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 4 - Recipes,frontend recipes ux
MP-50 - useDebounce + text search,Story,"*Concepts:* custom hook, timers with cleanup

h3. Subtasks
* {{hooks/useDebounce.ts}}
* Search box on the recipes page hitting ?q=

h3. Acceptance criteria
* Typing ""chicken"" fires *one* request, not eight
* Clearing the box resets to the unfiltered list
* The debounce timer is cleared on unmount

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 5 - Find recipes,frontend hooks performance
MP-51 - Pantry filter with useTransition / useDeferredValue,Story,"*Concepts:* concurrent rendering, urgent vs non-urgent updates

h3. Subtasks
* Multi-select of available ingredients (the ""select available ingredients"" filter)
* Results ranked: cookable now -> missing 1 -> missing 2
* Wrap the results update in startTransition, or derive with useDeferredValue
* Show a subtle pending indicator from isPending

h3. Acceptance criteria
* With 200+ recipes rendered, toggling checkboxes stays instantly responsive
* The checkbox visibly updates *before* the list does
* You can articulate the difference between useTransition and useDeferredValue and why you chose one

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 5 - Find recipes,frontend performance concurrent
MP-52 - Filters in the URL,Story,"*Concepts:* useSearchParams, URL as state

h3. Subtasks
* Search text and selected ingredients live in the query string

h3. Acceptance criteria
* A filtered URL is copy-pasteable into a new tab and reproduces the exact view
* Back undoes the last filter change
* Refresh preserves filters
* No duplicate fetch on mount from syncing state to URL and back

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 5 - Find recipes,frontend routing state
MP-53 - Pagination or infinite scroll,Story,"h3. Subtasks
* Pick one and implement it against the paginated endpoint

h3. Acceptance criteria
* Page state is in the URL
* Changing filters resets to page 1
* In-flight page requests are aborted on filter change

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 5 - Find recipes,frontend data-fetching
